City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hithadhoo,MV,82.38,few clouds,-0.6,73.0833,Scoop Guest House
10,Dingle,PH,87.19,light rain,10.9995,122.6711,SEGAYA PROPERTY
12,Tay Ninh,VN,88.07,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
20,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
23,Nikolskoye,RU,84.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
31,Surt,LY,81.93,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
42,Cabo San Lucas,MX,84.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
46,Kodinsk,RU,84.47,overcast clouds,58.6881,99.1844,
49,Kameshkovo,RU,84.45,overcast clouds,56.3481,41.0047,Otel'
59,Verkhnedneprovskiy,RU,80.15,clear sky,54.9813,33.3457,Friendship Hotel
63,Suluq,LY,86.04,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
66,Kavieng,PG,83.48,light rain,-2.5744,150.7967,Nusa Island Retreat
67,Vanimo,PG,84.56,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
70,Tura,IN,85.26,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
80,Alice Springs,AU,83.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
85,Butaritari,KI,83.43,light rain,3.0707,172.7902,Isles Sunset Lodge
97,Naze,JP,85.12,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
99,Lazo,RU,85.64,few clouds,43.3817,133.9014,
102,Sola,VU,80.38,few clouds,-13.8833,167.55,Leumerus Bungalows
110,Honiara,SB,81.61,few clouds,-9.4333,159.95,Heritage Park Hotel
113,Cseteny,HU,83.68,broken clouds,47.3181,17.9921,Hópihe Faház
119,Marsa Matruh,EG,84.4,few clouds,31.3525,27.2453,Beau Site
121,Netishyn,UA,82.53,clear sky,50.34,26.6417,Horynʹ
124,Namatanai,PG,83.3,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
136,San Fernando,PH,89.62,overcast clouds,15.0286,120.6898,Maharlika Hostel
137,Kieta,PG,82.63,light rain,-6.2167,155.6333,Uruna Bay Retreat
150,Akyab,MM,86.11,overcast clouds,20.15,92.9,Hotel Memory
154,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
159,Mangaluru,IN,83.26,mist,12.8667,74.8833,Goldfinch Mangaluru
170,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
171,Beipiao,CN,80.38,overcast clouds,41.7919,120.7792,Beipiao Hotel
172,San Patricio,US,82.85,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
173,Bengkulu,ID,82.04,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
174,Kiunga,PG,83.16,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
186,Katsuura,JP,84.24,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
190,Urgut,UZ,89.22,broken clouds,39.4022,67.2431,Xursandov Abdullo xonadoni
191,Shingu,JP,83.91,broken clouds,33.7333,135.9833,Shingu UI Hotel
192,Avanigadda,IN,86.14,overcast clouds,16.0215,80.9181,AP Camping
196,Faanui,PF,80.55,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
198,Khandyga,RU,81.21,clear sky,62.6667,135.6,Apel'sin
203,Mogadishu,SO,80.47,broken clouds,2.0371,45.3438,Hotel Juba
207,Kupang,ID,86.58,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
210,Maumere,ID,82.02,few clouds,-8.6199,122.2111,Sylvia Hotel
217,Bombay,IN,84.18,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
219,Rayagada,IN,85.8,light rain,19.1667,83.4167,"Hotel Swagath, Rayagada"
223,Haikou,CN,82.53,thunderstorm with light rain,20.0458,110.3417,Sun City Restaurant
228,Adrar,MR,88.56,clear sky,20.5022,-10.0711,
230,Sakaiminato,JP,87.78,scattered clouds,35.55,133.2333,味処・民宿 まつや
233,Kulhudhuffushi,MV,82.44,few clouds,6.6221,73.07,Hondaafushi Island Resort
235,Santa Rosa,PH,89.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
237,Krasnoarmeysk,RU,82.51,clear sky,51.0239,45.6969,"Hotel ""Your home-Balzer"""
245,Port Blair,IN,85.39,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
248,Dingzhou,CN,89.71,light rain,38.5131,114.9956,宜家时尚宾馆
249,Gorontalo,ID,83.41,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
256,Dandong,CN,81.73,broken clouds,40.1292,124.3947,Yiranju Farmstay
262,Faya,SA,84.31,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
265,Nha Trang,VN,87.8,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
267,Qiryat Ono,IL,88.57,few clouds,32.0222,34.8667,Holiday Villa Ben Gurion Airport
273,Fare,PF,80.2,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
275,Tateyama,JP,82.42,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
277,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
281,Tsybli,UA,84.33,clear sky,49.9948,31.5628,Готель Вотчина
