City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,71.02,93,90,4.0,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,73.51,71,36,11.45,scattered clouds
2,Hithadhoo,MV,-0.6,73.0833,82.38,73,11,5.48,few clouds
3,Mount Gambier,AU,-37.8333,140.7667,53.51,87,40,8.05,scattered clouds
4,Te Anau,NZ,-45.4167,167.7167,46.24,94,100,4.79,overcast clouds
5,Komsomolskiy,UZ,40.4272,71.7189,90.32,25,10,6.91,clear sky
6,Hobart,AU,-42.8794,147.3294,51.03,92,75,0.0,broken clouds
7,Lere,NG,10.387,8.5726,73.96,82,88,4.88,overcast clouds
8,North Bend,US,43.4065,-124.2243,57.24,87,90,17.27,overcast clouds
9,Ha Noi,VN,21.0245,105.8412,95.0,53,55,12.93,broken clouds
10,Dingle,PH,10.9995,122.6711,87.19,70,100,6.26,light rain
11,Barrow,US,71.2906,-156.7887,32.02,86,90,8.05,mist
12,Tay Ninh,VN,11.3,106.1,88.07,64,97,4.68,overcast clouds
13,Grand Gaube,MU,-20.0064,57.6608,74.37,73,22,15.99,light rain
14,Punta Arenas,CL,-53.15,-70.9167,37.51,81,90,13.8,overcast clouds
15,Albany,US,42.6001,-73.9662,69.28,94,100,1.99,overcast clouds
16,Gimli,CA,50.6336,-96.9907,60.82,67,28,5.75,scattered clouds
17,Bathsheba,BB,13.2167,-59.5167,79.54,77,2,15.17,clear sky
18,Arraial Do Cabo,BR,-22.9661,-42.0278,70.65,90,0,21.43,clear sky
19,Yellowknife,CA,62.456,-114.3525,64.92,63,75,6.91,broken clouds
20,Salalah,OM,17.0151,54.0924,84.29,84,75,13.8,broken clouds
21,Cape Town,ZA,-33.9258,18.4232,51.12,75,75,1.01,broken clouds
22,Katsina,NG,12.9894,7.6006,79.7,65,43,9.42,scattered clouds
23,Nikolskoye,RU,59.7035,30.7861,84.09,61,100,2.68,overcast clouds
24,Eureka,US,40.8021,-124.1637,56.68,81,58,5.01,broken clouds
25,Ushuaia,AR,-54.8,-68.3,28.06,86,0,8.05,clear sky
26,Ponta Do Sol,PT,32.6667,-17.1,72.72,71,0,5.35,clear sky
27,Khani,GE,41.9563,42.9566,76.57,55,10,4.76,clear sky
28,Springbok,ZA,-29.6643,17.8865,38.01,55,0,9.86,clear sky
29,Ribeira Grande,PT,38.5167,-28.7,70.2,88,75,11.5,broken clouds
30,Kaitangata,NZ,-46.2817,169.8464,47.93,62,100,7.07,overcast clouds
