City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2021-07-14 05:55:20,3.0707,172.7902,82.94,76,88,13.02
1,Ushuaia,AR,2021-07-14 05:51:42,-54.8,-68.3,29.86,80,0,8.05
2,Qaanaaq,GL,2021-07-14 05:55:21,77.484,-69.3632,38.25,87,100,1.32
3,Punta Arenas,CL,2021-07-14 05:55:21,-53.15,-70.9167,32.11,93,75,3.44
4,Mataura,NZ,2021-07-14 05:55:22,-46.1927,168.8643,47.48,81,100,8.41
5,Bethel,US,2021-07-14 05:55:22,41.3712,-73.414,69.91,93,90,0.0
6,Lavrentiya,RU,2021-07-14 05:55:23,65.5833,-171.0,48.76,85,76,6.08
7,Tuktoyaktuk,CA,2021-07-14 05:55:23,69.4541,-133.0374,46.4,76,75,14.97
8,Bollnas,SE,2021-07-14 05:55:24,61.3482,16.3946,72.39,62,56,2.08
9,Rikitea,PF,2021-07-14 05:55:24,-23.1203,-134.9692,73.74,70,2,11.79
10,Lebu,CL,2021-07-14 05:55:25,-37.6167,-73.65,46.63,80,6,12.97
11,Atuona,PF,2021-07-14 05:55:25,-9.8,-139.0333,78.46,71,50,22.12
12,Kushiro,JP,2021-07-14 05:55:25,42.975,144.3747,65.35,88,75,6.91
13,Taltal,CL,2021-07-14 05:55:26,-25.4,-70.4833,55.85,84,2,0.34
14,San Patricio,US,2021-07-14 05:55:26,28.017,-97.5169,82.85,84,15,7.67
15,Khryashchevka,RU,2021-07-14 05:55:27,53.8119,49.0916,76.98,59,44,7.2
16,Quarai,BR,2021-07-14 05:55:27,-30.3875,-56.4514,64.29,73,96,6.76
17,Ayan,RU,2021-07-14 05:55:27,56.45,138.1667,65.68,64,38,6.15
18,Bereda,ES,2021-07-14 05:55:28,43.2686,-7.5406,57.92,100,82,3.8
19,Kapaa,US,2021-07-14 05:53:28,22.0752,-159.319,76.12,74,20,3.0
20,Finschhafen,PG,2021-07-14 05:55:28,-6.6024,147.8681,82.31,72,99,9.64
21,Albany,US,2021-07-14 05:53:24,42.6001,-73.9662,70.38,93,99,1.01
22,Puli,TW,2021-07-14 05:55:29,23.9664,120.9695,90.36,84,75,3.87
23,Karratha,AU,2021-07-14 05:55:29,-20.7377,116.8463,79.81,47,90,13.27
24,Arraial Do Cabo,BR,2021-07-14 05:55:30,-22.9661,-42.0278,70.39,89,0,21.59
25,Bredasdorp,ZA,2021-07-14 05:55:30,-34.5322,20.0403,45.72,76,5,6.91
26,Calama,CL,2021-07-14 05:55:30,-22.4667,-68.9333,46.89,29,20,14.97
27,Avarua,CK,2021-07-14 05:55:31,-21.2078,-159.775,75.25,78,40,5.75
28,Plainview,US,2021-07-14 05:55:31,40.7765,-73.4673,71.74,91,90,1.01
29,Norman Wells,CA,2021-07-14 05:55:32,65.282,-126.8329,73.44,46,75,3.44
30,Vaini,TO,2021-07-14 05:55:32,-21.2,-175.2,73.56,88,75,9.22
31,Ribeira Grande,PT,2021-07-14 05:55:32,38.5167,-28.7,69.48,84,71,13.85
32,Hilo,US,2021-07-14 05:55:33,19.7297,-155.09,74.8,86,32,1.99
33,Koslan,RU,2021-07-14 05:55:33,63.4564,48.8989,73.11,52,73,0.49
34,Yellowknife,CA,2021-07-14 05:55:34,62.456,-114.3525,64.92,55,75,8.05
35,Saint-Philippe,RE,2021-07-14 05:55:34,-21.3585,55.7679,74.79,61,5,10.18
36,Maesteg,GB,2021-07-14 05:55:35,51.6093,-3.6582,62.15,89,22,6.15
37,Faanui,PF,2021-07-14 05:55:35,-16.4833,-151.75,80.33,74,10,18.41
38,Port Alfred,ZA,2021-07-14 05:55:35,-33.5906,26.891,50.05,64,82,16.44
39,Dandong,CN,2021-07-14 05:55:36,40.1292,124.3947,77.32,92,100,14.63
40,Asau,RO,2021-07-14 05:55:36,46.4333,26.4,78.76,63,0,2.93
41,Port Blair,IN,2021-07-14 05:55:36,11.6667,92.75,85.32,72,48,11.32
42,Naze,JP,2021-07-14 05:55:37,28.3667,129.4833,85.12,75,100,8.46
43,Homer,US,2021-07-14 05:55:37,59.6425,-151.5483,54.03,89,66,5.99
44,Olinda,BR,2021-07-14 05:55:38,-8.0089,-34.8553,69.53,83,40,4.61
45,Chuy,UY,2021-07-14 05:55:38,-33.6971,-53.4616,55.27,90,99,7.0
46,Bluff,NZ,2021-07-14 05:55:38,-46.6,168.3333,47.8,87,100,20.92
47,Hermanus,ZA,2021-07-14 05:55:39,-34.4187,19.2345,48.9,76,33,9.73
48,Angoche,MZ,2021-07-14 05:55:39,-16.2325,39.9086,73.94,78,9,1.16
49,Ponta Do Sol,PT,2021-07-14 05:55:40,32.6667,-17.1,70.43,75,0,5.57
50,Shingu,JP,2021-07-14 05:55:40,33.7333,135.9833,84.9,85,67,1.03
51,Souillac,MU,2021-07-14 05:55:40,-20.5167,57.5167,74.35,73,20,16.11
52,Hornepayne,CA,2021-07-14 05:55:41,49.2138,-84.7705,61.7,78,60,6.67
53,Tuy Hoa,VN,2021-07-14 05:55:41,13.0833,109.3,87.3,64,95,8.3
54,Ucluelet,CA,2021-07-14 05:52:10,48.9329,-125.5528,65.05,92,65,1.01
55,Hirara,JP,2021-07-14 05:55:42,24.8,125.2833,84.47,89,40,5.75
56,Victoria,HK,2021-07-14 05:55:00,22.2855,114.1577,93.38,63,55,8.99
57,Bengkulu,ID,2021-07-14 05:55:43,-3.8004,102.2655,81.52,59,100,0.43
58,Roura,GF,2021-07-14 05:55:43,4.7263,-52.3274,75.96,100,90,2.3
59,Churhat,IN,2021-07-14 05:55:44,24.428,81.6703,95.77,43,23,10.13
60,Touros,BR,2021-07-14 05:55:44,-5.1989,-35.4608,76.1,88,42,12.46
61,Abu Dhabi,AE,2021-07-14 05:50:57,24.4667,54.3667,98.71,41,56,12.66
62,Mar Del Plata,AR,2021-07-14 05:55:45,-38.0023,-57.5575,46.13,36,19,3.0
63,Tiksi,RU,2021-07-14 05:55:45,71.6872,128.8694,46.17,74,99,18.28
64,Bambous Virieux,MU,2021-07-14 05:55:45,-20.3428,57.7575,74.21,73,20,16.11
